day,channel_face,platform_priority,idea_id,title,format,cta,status
1,C,tiktok+shorts+reels,1,5 coisas ChatGPT que a maioria não sabe,lista,kit na bio,todo
2,B,tiktok+shorts+reels,3,1 ideia vira 30 conteúdos,demo,kit na bio,todo
3,A,tiktok+shorts+reels,2,3 serviços para vender amanhã,lista,kit na bio,todo
4,C,tiktok+shorts+reels+pinterest,4,3 ferramentas que parecem mentira,lista,kit na bio,todo
5,A,tiktok+shorts+reels,8,Não apareço no vídeo e mesmo assim vendo,opiniao,kit na bio,todo
6,B,tiktok+shorts+reels,6,Economize 2 horas por dia,insight,kit na bio,todo
7,C,tiktok+shorts+reels,7,ChatGPT vs Claude 2026,comparativo,kit na bio,todo
8,A,tiktok+shorts+reels,5,Produto R$67 em um fim de semana,tutorial,oferta,todo
9,B,tiktok+shorts+reels+pinterest,9,n8n publica enquanto você dorme,tutorial,kit na bio,todo
10,C,tiktok+shorts+reels,10,Testei 7 geradores de vídeo,teste,kit na bio,todo
11,A,tiktok+shorts+reels,11,Comentário TikTok vira lead,sistema,kit na bio,todo
12,B,tiktok+shorts+reels,12,Erro que deixa IA genérica,erro,kit na bio,todo
13,C,tiktok+shorts+reels,13,Agentes de IA na prática,educativo,kit na bio,todo
14,A,tiktok+shorts+reels+pinterest,14,5 rendas extras sem investir,lista,kit na bio,todo
15,B,tiktok+shorts+reels,15,Calendário 30 dias em 20 min,demo,kit na bio,todo
16,C,tiktok+shorts+reels,16,30 segundos vs 2 horas,demo,kit na bio,todo
17,A,tiktok+shorts+reels,17,Por que R$47 vende mais,opiniao,oferta,todo
18,B,tiktok+shorts+reels,18,Pesquisar sem copiar,tutorial,kit na bio,todo
19,C,tiktok+shorts+reels+pinterest,19,Legendas com retenção,prompt,kit na bio,todo
20,A,tiktok+shorts+reels,20,Funil vídeo→bio→lead→venda,sistema,oferta,todo
21,B,tiktok+shorts+reels,21,Checklist 25 minutos/dia,checklist,kit na bio,todo
22,C,tiktok+shorts+reels+pinterest,22,Pinterest Idea Pins,oportunidade,kit na bio,todo
23,A,tiktok+shorts+reels,23,Afiliado sem spam,tutorial,kit na bio,todo
24,B,tiktok+shorts+reels,24,1 roteiro 12 formatos,demo,kit na bio,todo
25,C,tiktok+shorts+reels,25,Ferramentas grátis,lista,kit na bio,todo
26,A,tiktok+shorts+reels,26,Lead magnet do zero,sistema,oferta,todo
27,B,tiktok+shorts+reels,27,Mate os vídeos C,sistema,kit na bio,todo
28,A,tiktok+shorts+reels,29,Matemática do upsell R$397,negocio,upsell,todo
29,B,tiktok+shorts+reels,30,Hook de 3 segundos,template,kit na bio,todo
30,A,tiktok+shorts+reels+pinterest,50,Blitz nos vencedores,estrategia,upsell,todo
